noise,coupling,cluster
0.0085,0.05,1
0.0085,0.055,1
0.0085,0.06,1
0.0085,0.065,1
0.0085,0.07,4
0.0085,0.075,1
0.0085,0.08,1
0.0085,0.085,4
0.0085,0.09,2
0.0085,0.095,2
0.0085,0.1,2
0.0085,0.105,2
0.0085,0.11,2
0.0085,0.115,2
0.0085,0.12,2
0.0085,0.125,2
0.0085,0.13,2
0.0085,0.135,2
0.0085,0.14,2
0.0085,0.145,2
0.0085,0.15,2
0.0085,0.155,2
0.0085,0.16,2
0.0085,0.165,2
0.0085,0.17,2
0.0085,0.175,2
0.0085,0.18,2
0.0085,0.185,2
0.0085,0.19,2
0.0085,0.195,2
0.0085,0.2,2
0.009,0.0,0
0.009,0.005,1
0.009,0.01,1
0.009,0.015,1
0.009,0.02,1
0.009,0.025,1
0.009,0.03,1
0.009,0.035,1
0.009,0.04,1
0.009,0.045,1
0.009,0.05,1
0.009,0.055,1
0.009,0.06,1
0.009,0.065,1
0.009,0.07,4
0.009,0.075,2
0.009,0.08,4
0.009,0.085,4
0.009,0.09,2
0.009,0.095,4
0.009,0.1,2
0.009,0.105,2
0.009,0.11,2
0.009,0.115,2
0.009,0.12,2
0.009,0.125,2
0.009,0.13,2
0.009,0.135,2
0.009,0.14,2
0.009,0.145,2
0.009,0.15,2
0.009,0.155,2
0.009,0.16,2
0.009,0.165,2
0.009,0.17,2
0.009,0.175,2
0.009,0.18,2
0.009,0.185,2
0.009,0.19,2
0.009,0.195,2
0.009,0.2,2
0.0095,0.0,0
0.0095,0.005,1
0.0095,0.01,1
0.0095,0.015,1
0.0095,0.02,1
0.0095,0.025,1
0.0095,0.03,1
0.0095,0.035,1
0.0095,0.04,1
0.0095,0.045,1
0.0095,0.05,1
0.0095,0.055,1
0.0095,0.06,1
0.0095,0.065,1
0.0095,0.07,1
0.0095,0.075,4
0.0095,0.08,4
0.0095,0.085,4
0.0095,0.09,2
0.0095,0.095,2
0.0095,0.1,2
0.0095,0.105,2
0.0095,0.11,2
0.0095,0.115,2
0.0095,0.12,2
0.0095,0.125,2
0.0095,0.13,2
0.0095,0.135,2
0.0095,0.14,2
0.0095,0.145,2
0.0095,0.15,2
0.0095,0.155,2
0.0095,0.16,2
0.0095,0.165,2
0.0095,0.17,2
0.0095,0.175,2
0.0095,0.18,2
0.0095,0.185,2
0.0095,0.19,2
0.0095,0.195,2
0.0095,0.2,2
0.01,0.0,0
0.01,0.005,0
0.01,0.01,1
0.01,0.015,1
0.01,0.02,1
0.01,0.025,1
0.01,0.03,1
0.01,0.035,1
0.01,0.04,1
0.01,0.045,1
0.01,0.05,1
0.01,0.055,1
0.01,0.06,1
0.01,0.065,1
0.01,0.07,1
0.01,0.075,4
0.01,0.08,4
0.01,0.085,4
0.01,0.09,2
0.01,0.095,2
0.01,0.1,2
0.01,0.105,2
0.01,0.11,2
0.01,0.115,2
0.01,0.12,2
0.01,0.125,2
0.01,0.13,2
0.01,0.135,2
0.01,0.14,2
0.01,0.145,2
0.01,0.15,2
0.01,0.155,2
0.01,0.16,2
0.01,0.165,2
0.01,0.17,2
0.01,0.175,2
0.01,0.18,2
0.01,0.185,2
0.01,0.19,2
0.01,0.195,2
0.01,0.2,2
0.011,0.0,0
0.011,0.005,0
0.011,0.01,1
0.011,0.015,1
0.011,0.02,1
0.011,0.025,1
0.011,0.03,1
0.011,0.035,1
0.011,0.04,1
0.011,0.045,1
0.011,0.05,1
0.011,0.055,1
0.011,0.06,1
0.011,0.065,4
0.011,0.07,4
0.011,0.075,4
0.011,0.08,4
0.011,0.085,4
0.011,0.09,4
0.011,0.095,2
0.011,0.1,4
0.011,0.105,2
0.011,0.11,2
0.011,0.115,2
0.011,0.12,2
0.011,0.125,2
0.011,0.13,2
0.011,0.135,2
0.011,0.14,2
0.011,0.145,2
0.011,0.15,2
0.011,0.155,2
0.011,0.16,2
0.011,0.165,2
0.011,0.17,2
0.011,0.175,2
0.011,0.18,2
0.011,0.185,2
0.011,0.19,2
0.011,0.195,2
0.011,0.2,2
0.012,0.0,0
0.012,0.005,0
0.012,0.01,1
0.012,0.015,1
0.012,0.02,1
0.012,0.025,1
0.012,0.03,1
0.012,0.035,1
0.012,0.04,1
0.012,0.045,4
0.012,0.05,1
0.012,0.055,4
0.012,0.06,4
0.012,0.065,4
0.012,0.07,4
0.012,0.075,4
0.012,0.08,4
0.012,0.085,2
0.012,0.09,2
0.012,0.095,2
0.012,0.1,2
0.012,0.105,2
0.012,0.11,2
0.012,0.115,2
0.012,0.12,2
0.012,0.125,2
0.012,0.13,2
0.012,0.135,2
0.012,0.14,2
0.012,0.145,2
0.012,0.15,2
0.012,0.155,2
0.012,0.16,2
0.012,0.165,2
0.012,0.17,2
0.012,0.175,2
0.012,0.18,2
0.012,0.185,2
0.012,0.19,2
0.012,0.195,2
0.012,0.2,2
0.013,0.0,0
0.013,0.005,0
0.013,0.01,1
0.013,0.015,1
0.013,0.02,1
0.013,0.025,1
0.013,0.03,1
0.013,0.035,1
0.013,0.04,1
0.013,0.045,1
0.013,0.05,4
0.013,0.055,4
0.013,0.06,4
0.013,0.065,2
0.013,0.07,2
0.013,0.075,2
0.013,0.08,2
0.013,0.085,2
0.013,0.09,2
0.013,0.095,2
0.013,0.1,2
0.013,0.105,2
0.013,0.11,2
0.013,0.115,2
0.013,0.12,2
0.013,0.125,2
0.013,0.13,2
0.013,0.135,2
0.013,0.14,2
0.013,0.145,2
0.013,0.15,2
0.013,0.155,2
0.013,0.16,2
0.013,0.165,2
0.013,0.17,2
0.013,0.175,2
0.013,0.18,2
